Channel Number,Channel Name,Start Time,Duration,Program Name
13,MNN SPIRIT CHANNEL,13:00,30,Currently Being Updated
13,MNN SPIRIT CHANNEL,13:30,30,Currently Being Updated
13,MNN SPIRIT CHANNEL,14:00,30,Currently Being Updated
13,MNN SPIRIT CHANNEL,14:30,30,Currently Being Updated
13,MNN SPIRIT CHANNEL,15:00,30,Currently Being Updated
13,MNN SPIRIT CHANNEL,15:30,30,Currently Being Updated
13,MNN SPIRIT CHANNEL,16:00,30,Currently Being Updated
13,MNN SPIRIT CHANNEL,16:30,30,Currently Being Updated
13,MNN SPIRIT CHANNEL,17:00,30,Currently Being Updated
13,MNN SPIRIT CHANNEL,17:30,30,Currently Being Updated
13,MNN SPIRIT CHANNEL,18:00,30,Currently Being Updated
13,MNN SPIRIT CHANNEL,18:30,30,Currently Being Updated
